,mll_annotation,prediction,ID,im_tiffname
515,typical lymphocyte,typical lymphocyte,UGU,406.TIF
516,myeloblast,myeloblast,UGU,059.TIF
517,atypical promyelocyte,atypical promyelocyte,PKC,391.TIF
518,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,229.TIF
519,other,normo,PKC,282.TIF
520,typical lymphocyte,typical lymphocyte,BHS,045.TIF
521,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,136.TIF
522,promonocyte,myeloblast,SBY,291.TIF
523,monocyte,monocyte,UGU,458.TIF
524,"atypical promyelocyte, bilobed",neutrophil granulocyte (band),PKC,388.TIF
525,monocyte,large granulated lymphocyte,UGU,150.TIF
526,monocyte,reactive lymphocyte,UGU,334.TIF
527,faggot cell,atypical promyelocyte,BHS,365.TIF
528,other,other,UVT,222.TIF
529,myeloblast,myeloblast,SBY,461.TIF
530,myeloblast,myeloblast,SBY,411.TIF
531,myeloblast,myeloblast,SBY,362.TIF
532,myeloblast,myeloblast,PKC,157.TIF
533,reactive lymphocyte,typical lymphocyte,SBY,023.TIF
534,myeloblast with auer rod,atypical promyelocyte,BHS,399.TIF
535,other,smudge cell,UVT,182.TIF
536,other,other,PKC,049.TIF
537,typical lymphocyte,typical lymphocyte,SBY,142.TIF
538,other,other,PKC,050.TIF
539,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,381.TIF
540,monocyte,basophil granulocyte,BHS,369.TIF
541,myeloblast,myeloblast,PKC,366.TIF
542,neutrophil granulocyte (band),neutrophil granulocyte (band),BHS,087.TIF
543,myeloblast,myeloblast,SBY,027.TIF
544,other,monocyte,BHS,426.TIF
545,monocyte,typical lymphocyte,BHS,246.TIF
546,neutrophil granulocyte (segmented),neutrophil granulocyte (band),BHS,361.TIF
547,atypical promyelocyte,atypical promyelocyte,BHS,001.TIF
548,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,369.TIF
549,myeloblast,myeloblast,UVT,021.TIF
550,monocyte,typical lymphocyte,SBY,148.TIF
551,monocyte,monocyte,UVT,138.TIF
552,other,other,PKC,039.TIF
553,reactive lymphocyte,large granulated lymphocyte,UGU,379.TIF
554,other,other,PKC,060.TIF
555,myeloblast,myeloblast,SBY,445.TIF
556,other,smudge cell,UVT,124.TIF
557,monocyte,atypical promyelocyte,BHS,064.TIF
558,typical lymphocyte,typical lymphocyte,UGU,477.TIF
559,myeloblast,myeloblast,SBY,339.TIF
560,reactive lymphocyte,large granulated lymphocyte,SBY,021.TIF
561,other,smudge cell,BHS,048.TIF
562,other,smudge cell,UGU,088.TIF
563,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,460.TIF
564,monocyte,monocyte,SBY,124.TIF
565,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,329.TIF
566,other,smudge cell,UGU,104.TIF
567,myeloblast,myeloblast,UVT,442.TIF
568,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,241.TIF
569,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,106.TIF
570,promonocyte,myeloblast,SBY,420.TIF
571,reactive lymphocyte,typical lymphocyte,UGU,363.TIF
572,myeloblast,myeloblast,SBY,082.TIF
573,monocyte,monocyte,UGU,105.TIF
574,myeloblast with long auer rod,myeloblast,UGU,484.TIF
575,reactive lymphocyte,myeloblast,UGU,313.TIF
576,promonocyte,monocyte,UVT,274.TIF
577,typical lymphocyte,typical lymphocyte,SBY,133.TIF
578,typical lymphocyte,typical lymphocyte,UGU,376.TIF
579,large granulated lymphocyte,large granulated lymphocyte,UGU,149.TIF
580,promonocyte,reactive lymphocyte,SBY,220.TIF
581,myeloblast,myeloblast,UVT,318.TIF
582,myeloblast with long auer rod,myeloblast,UGU,074.TIF
583,myeloblast with auer rod,atypical promyelocyte,UGU,197.TIF
584,myeloblast,myeloblast,UVT,287.TIF
585,myeloblast,neoplastic lymphocyte,SBY,128.TIF
586,promonocyte,mononucleosis,SBY,433.TIF
587,myeloblast,myeloblast,SBY,374.TIF
588,other,other,UVT,175.TIF
589,myeloblast,myeloblast,SBY,476.TIF
590,monocyte,monocyte,UVT,240.TIF
591,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,217.TIF
592,other,myeloblast,UVT,255.TIF
593,myeloblast,myeloblast,SBY,254.TIF
594,other,other,UVT,346.TIF
595,reactive lymphocyte,mononucleosis,SBY,061.TIF
596,other,other,BHS,054.TIF
597,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,428.TIF
598,other,atypical promyelocyte,BHS,027.TIF
599,ambiguous,typical lymphocyte,UVT,147.TIF
600,myeloblast,myeloblast,UVT,113.TIF
601,atypical promyelocyte,atypical promyelocyte,BHS,227.TIF
602,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,461.TIF
603,other,large granulated lymphocyte,UGU,328.TIF
604,monocyte,typical lymphocyte,UGU,081.TIF
605,myeloblast,myeloblast,SBY,329.TIF
606,myeloblast,myeloblast,UGU,199.TIF
607,monocyte,mononucleosis,PKC,427.TIF
608,myeloblast,myeloblast,UVT,437.TIF
609,other,typical lymphocyte,BHS,085.TIF
610,other,other,PKC,333.TIF
611,typical lymphocyte,typical lymphocyte,UVT,402.TIF
612,atypical promyelocyte,metamyelocyte,PKC,040.TIF
613,typical lymphocyte,typical lymphocyte,UGU,090.TIF
614,other,other,SBY,264.TIF
615,monocyte,neutrophil granulocyte (band),BHS,380.TIF
616,other,smudge cell,UVT,172.TIF
617,other,other,PKC,226.TIF
618,typical lymphocyte,plasma cell,BHS,256.TIF
619,typical lymphocyte,typical lymphocyte,UVT,243.TIF
620,monocyte,monocyte,SBY,070.TIF
621,typical lymphocyte,typical lymphocyte,UGU,333.TIF
622,monocyte,neutrophil granulocyte (band),UGU,080.TIF
623,atypical promyelocyte,atypical promyelocyte,BHS,428.TIF
624,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,052.TIF
625,eosinophil granulocyte,eosinophil granulocyte,UVT,140.TIF
626,monocyte,mononucleosis,SBY,134.TIF
627,reactive lymphocyte,large granulated lymphocyte,UGU,203.TIF
628,myeloblast with long auer rod,myeloblast,UGU,052.TIF
629,myeloblast,myeloblast,UVT,370.TIF
630,atypical promyelocyte,myelocyte,PKC,096.TIF
631,monocyte,myeloblast,SBY,314.TIF
632,typical lymphocyte,typical lymphocyte,SBY,116.TIF
633,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,313.TIF
634,"atypical promyelocyte, bilobed",neutrophil granulocyte (band),PKC,214.TIF
635,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,134.TIF
636,atypical promyelocyte,basophil granulocyte,SBY,237.TIF
637,reactive lymphocyte,typical lymphocyte,SBY,256.TIF
638,reactive lymphocyte,typical lymphocyte,PKC,301.TIF
639,promonocyte,myeloblast,SBY,081.TIF
640,myeloblast,myeloblast,UVT,440.TIF
641,monocyte,atypical promyelocyte,BHS,454.TIF
642,atypical promyelocyte,atypical promyelocyte,BHS,243.TIF
643,atypical promyelocyte,atypical promyelocyte,BHS,373.TIF
644,myeloblast,mononucleosis,UVT,493.TIF
645,myeloblast,myeloblast,SBY,075.TIF
646,neutrophil granulocyte (segmented),neutrophil granulocyte (band),PKC,240.TIF
647,other,typical lymphocyte,BHS,169.TIF
648,neutrophil granulocyte (band),neutrophil granulocyte (band),UGU,350.TIF
649,typical lymphocyte,typical lymphocyte,PKC,472.TIF
650,myeloblast,myeloblast,SBY,108.TIF
651,other,basophil granulocyte,BHS,157.TIF
652,other,smudge cell,UVT,014.TIF
653,myeloblast,myeloblast,SBY,298.TIF
654,typical lymphocyte,typical lymphocyte,SBY,281.TIF
655,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,356.TIF
656,typical lymphocyte,plasma cell,BHS,344.TIF
657,monocyte,myeloblast,UGU,069.TIF
658,typical lymphocyte,typical lymphocyte,SBY,107.TIF
659,other,other,PKC,064.TIF
660,cup-like blast,myeloblast,UVT,450.TIF
661,typical lymphocyte,typical lymphocyte,UGU,267.TIF
662,myeloblast,myeloblast,UGU,124.TIF
663,myeloblast,myeloblast,SBY,067.TIF
664,myeloblast,myeloblast,UVT,438.TIF
665,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,401.TIF
666,promonocyte,myeloblast,SBY,182.TIF
667,faggot cell,basophil granulocyte,BHS,196.TIF
668,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,431.TIF
669,myeloblast,myeloblast,SBY,306.TIF
670,promonocyte,monocyte,BHS,219.TIF
671,ambiguous,myeloblast,SBY,102.TIF
672,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,185.TIF
673,other,smudge cell,UVT,026.TIF
674,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,018.TIF
675,ambiguous,myeloblast,SBY,261.TIF
676,other,large granulated lymphocyte,UGU,273.TIF
677,monocyte,monocyte,SBY,451.TIF
678,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,273.TIF
679,typical lymphocyte,other,BHS,095.TIF
680,myeloblast,myeloblast,UVT,212.TIF
681,other,neutrophil granulocyte (segmented),UGU,214.TIF
682,other,monocyte,SBY,397.TIF
683,monocyte,monocyte,SBY,000.TIF
684,typical lymphocyte,typical lymphocyte,UGU,396.TIF
685,other,metamyelocyte,PKC,384.TIF
686,typical lymphocyte,typical lymphocyte,UGU,207.TIF
687,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,249.TIF
688,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,121.TIF
689,typical lymphocyte,typical lymphocyte,SBY,154.TIF
690,promonocyte,bilobed M3v,SBY,258.TIF
691,atypical promyelocyte,atypical promyelocyte,PKC,190.TIF
692,neutrophil granulocyte (segmented),other,PKC,312.TIF
693,typical lymphocyte,typical lymphocyte,UGU,292.TIF
694,monocyte,mononucleosis,UGU,012.TIF
695,atypical promyelocyte,atypical promyelocyte,BHS,144.TIF
696,myeloblast,myeloblast,UGU,336.TIF
697,other,smudge cell,UVT,030.TIF
698,large granulated lymphocyte,large granulated lymphocyte,UGU,064.TIF
699,myeloblast,mononucleosis,UVT,456.TIF
700,monocyte,typical lymphocyte,UGU,326.TIF
701,myeloblast,mononucleosis,SBY,390.TIF
702,other,other,UVT,173.TIF
703,other,large granulated lymphocyte,UGU,424.TIF
704,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,419.TIF
705,monocyte,other,BHS,395.TIF
706,myeloblast,myeloblast,SBY,170.TIF
707,promonocyte,neoplastic lymphocyte,UVT,214.TIF
708,promonocyte,monocyte,SBY,110.TIF
709,atypical promyelocyte,atypical promyelocyte,BHS,337.TIF
710,other,other,SBY,464.TIF
711,other,other,BHS,342.TIF
712,typical lymphocyte,typical lymphocyte,UGU,446.TIF
713,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,287.TIF
714,ambiguous,neutrophil granulocyte (segmented),UGU,138.TIF
715,other,typical lymphocyte,UGU,407.TIF
716,other,other,PKC,207.TIF
717,atypical promyelocyte,atypical promyelocyte,BHS,346.TIF
718,myeloblast,myeloblast,SBY,455.TIF
719,monocyte,monocyte,SBY,452.TIF
720,atypical promyelocyte with auer rod,atypical promyelocyte,BHS,289.TIF
721,atypical promyelocyte,atypical promyelocyte,BHS,381.TIF
722,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,194.TIF
723,myeloblast,myeloblast,SBY,213.TIF
724,normo,normo,PKC,136.TIF
725,myeloblast,promyelocyte,SBY,157.TIF
726,monocyte,myeloblast,SBY,169.TIF
727,other,other,UVT,368.TIF
728,myeloblast,myeloblast,UVT,065.TIF
729,other,other,PKC,236.TIF
730,myeloblast,myeloblast,UGU,475.TIF
731,myeloblast,myeloblast,SBY,196.TIF
732,monocyte,plasma cell,BHS,176.TIF
733,myeloblast,myeloblast,SBY,155.TIF
734,monocyte,neoplastic lymphocyte,UVT,413.TIF
735,typical lymphocyte,typical lymphocyte,SBY,435.TIF
736,myeloblast,myeloblast,SBY,352.TIF
737,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,351.TIF
738,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,321.TIF
739,other,basophil granulocyte,BHS,461.TIF
740,myeloblast,atypical promyelocyte,UVT,120.TIF
741,atypical promyelocyte,atypical promyelocyte,PKC,478.TIF
742,myeloblast,myeloblast,UGU,216.TIF
743,promonocyte,monocyte,UVT,132.TIF
744,reactive lymphocyte,typical lymphocyte,UVT,111.TIF
745,large granulated lymphocyte,large granulated lymphocyte,UGU,449.TIF
746,promonocyte,myeloblast,SBY,381.TIF
747,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,179.TIF
748,other,smudge cell,UVT,425.TIF
749,myeloblast,myeloblast,SBY,045.TIF
750,typical lymphocyte,typical lymphocyte,UGU,473.TIF
751,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,122.TIF
752,other,other,PKC,106.TIF
753,myeloblast,mononucleosis,UVT,415.TIF
754,monocyte,plasma cell,BHS,393.TIF
755,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,281.TIF
756,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,058.TIF
757,large granulated lymphocyte,large granulated lymphocyte,UVT,003.TIF
758,typical lymphocyte,myeloblast,SBY,180.TIF
759,myeloblast,myeloblast,UVT,392.TIF
760,other,smudge cell,SBY,320.TIF
761,reactive lymphocyte,large granulated lymphocyte,UVT,400.TIF
762,myeloblast,myeloblast,UVT,088.TIF
763,myeloblast,myeloblast,UVT,197.TIF
764,ambiguous,myeloblast,SBY,197.TIF
765,large granulated lymphocyte,typical lymphocyte,UGU,366.TIF
766,myeloblast,myeloblast,UVT,254.TIF
767,myeloblast,myeloblast,PKC,342.TIF
768,typical lymphocyte,typical lymphocyte,UGU,340.TIF
769,normo,normo,UVT,097.TIF
770,monocyte,myeloblast,UGU,171.TIF
771,other,other,BHS,057.TIF
772,monocyte,myeloblast,UGU,247.TIF
773,other,smudge cell,SBY,188.TIF
774,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,075.TIF
775,monocyte,monocyte,UVT,135.TIF
776,cup-like blast,myeloblast,UVT,166.TIF
777,large granulated lymphocyte,large granulated lymphocyte,UGU,168.TIF
778,atypical promyelocyte with auer rod,metamyelocyte,BHS,069.TIF
779,other,large granulated lymphocyte,BHS,450.TIF
780,other,typical lymphocyte,UGU,204.TIF
781,typical lymphocyte,typical lymphocyte,SBY,012.TIF
782,other,neutrophil granulocyte (segmented),PKC,154.TIF
783,atypical promyelocyte,atypical promyelocyte,BHS,330.TIF
784,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,151.TIF
785,other,other,PKC,162.TIF
786,other,neutrophil granulocyte (segmented),PKC,491.TIF
787,other,other,PKC,090.TIF
788,myeloblast,atypical promyelocyte,SBY,010.TIF
789,myeloblast,myeloblast,UVT,313.TIF
790,atypical promyelocyte,atypical promyelocyte,PKC,105.TIF
791,other,other,PKC,314.TIF
792,atypical promyelocyte,atypical promyelocyte,PKC,089.TIF
793,typical lymphocyte,typical lymphocyte,UGU,060.TIF
794,monocyte,typical lymphocyte,SBY,064.TIF
795,myeloblast,basophil granulocyte,PKC,017.TIF
796,myeloblast,myeloblast,PKC,155.TIF
797,monocyte,monocyte,SBY,109.TIF
798,myeloblast,myeloblast,SBY,085.TIF
799,other,other,BHS,077.TIF
800,myeloblast,myeloblast,SBY,125.TIF
801,myeloblast,myeloblast,SBY,235.TIF
802,other,typical lymphocyte,UGU,317.TIF
803,monocyte,mononucleosis,SBY,095.TIF
804,typical lymphocyte,myeloblast,SBY,399.TIF
805,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,208.TIF
806,eosinophil granulocyte,eosinophil granulocyte,SBY,104.TIF
807,myeloblast,myeloblast,SBY,310.TIF
808,"atypical promyelocyte, bilobed",myeloblast,SBY,009.TIF
809,other,other,UGU,418.TIF
810,erythroblast,normo,SBY,302.TIF
811,monocyte,monocyte,SBY,113.TIF
812,typical lymphocyte,typical lymphocyte,UGU,482.TIF
813,other,myelocyte,PKC,256.TIF
814,typical lymphocyte,typical lymphocyte,UGU,456.TIF
815,monocyte,large granulated lymphocyte,UGU,362.TIF
816,metamyelocyte,neutrophil granulocyte (band),PKC,306.TIF
817,myeloblast,myeloblast,SBY,425.TIF
818,monocyte,monocyte,UGU,086.TIF
819,other,basophil granulocyte,PKC,459.TIF
820,typical lymphocyte,typical lymphocyte,SBY,117.TIF
821,typical lymphocyte,typical lymphocyte,SBY,191.TIF
822,neutrophil granulocyte (band),neutrophil granulocyte (band),UGU,053.TIF
823,typical lymphocyte,typical lymphocyte,BHS,078.TIF
824,other,atypical promyelocyte,BHS,172.TIF
825,other,smudge cell,UVT,398.TIF
826,myeloblast,myeloblast,BHS,341.TIF
827,other,other,BHS,226.TIF
828,eosinophil granulocyte,eosinophil granulocyte,UGU,278.TIF
829,monocyte,myeloblast,UGU,338.TIF
830,other,atypical promyelocyte,BHS,317.TIF
831,other,smudge cell,UVT,015.TIF
832,monocyte,monocyte,SBY,234.TIF
833,normo,normo,UVT,094.TIF
834,other,other,PKC,467.TIF
835,other,smudge cell,UGU,072.TIF
836,cup-like blast,myeloblast,UVT,323.TIF
837,myeloblast,typical lymphocyte,SBY,231.TIF
838,myeloblast,atypical promyelocyte,SBY,472.TIF
839,myeloblast,neoplastic lymphocyte,SBY,272.TIF
840,faggot cell,atypical promyelocyte,BHS,090.TIF
841,atypical promyelocyte,atypical promyelocyte,BHS,370.TIF
842,large granulated lymphocyte,large granulated lymphocyte,UGU,360.TIF
843,other,smudge cell,UVT,119.TIF
844,other,other,PKC,439.TIF
845,myeloblast,myeloblast,UVT,260.TIF
846,myeloblast,myeloblast,UVT,179.TIF
847,monocyte,myeloblast,SBY,312.TIF
848,atypical promyelocyte,atypical promyelocyte,BHS,021.TIF
849,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,367.TIF
850,typical lymphocyte,typical lymphocyte,UGU,008.TIF
851,atypical promyelocyte,atypical promyelocyte,PKC,398.TIF
852,other,typical lymphocyte,BHS,427.TIF
853,myeloblast,myeloblast,SBY,378.TIF
854,other,smudge cell,UVT,191.TIF
855,other,other,BHS,414.TIF
856,other,smudge cell,UVT,264.TIF
857,reactive lymphocyte,large granulated lymphocyte,UGU,002.TIF
858,large granulated lymphocyte,large granulated lymphocyte,UGU,268.TIF
859,other,other,UVT,133.TIF
860,myeloblast,myeloblast,SBY,342.TIF
861,atypical promyelocyte with auer rod,atypical promyelocyte,BHS,470.TIF
862,other,other,UGU,270.TIF
863,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,293.TIF
864,monocyte,neutrophil granulocyte (band),UGU,135.TIF
865,large granulated lymphocyte,large granulated lymphocyte,UGU,163.TIF
866,other,smudge cell,UVT,268.TIF
867,reactive lymphocyte,typical lymphocyte,UGU,312.TIF
868,myeloblast,myeloblast,SBY,315.TIF
869,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,337.TIF
870,neutrophil granulocyte (band),neutrophil granulocyte (segmented),PKC,196.TIF
871,other,normo,PKC,365.TIF
872,promonocyte,myeloblast,SBY,263.TIF
873,cup-like blast,myeloblast,UGU,259.TIF
874,other,smudge cell,UVT,155.TIF
875,ambiguous,reactive lymphocyte,UVT,145.TIF
876,other,other,PKC,057.TIF
877,typical lymphocyte,typical lymphocyte,SBY,328.TIF
878,other,typical lymphocyte,BHS,132.TIF
879,myeloblast,atypical promyelocyte,BHS,179.TIF
880,atypical promyelocyte,atypical promyelocyte,PKC,421.TIF
881,typical lymphocyte,typical lymphocyte,PKC,460.TIF
882,monocyte,monocyte,PKC,021.TIF
883,reactive lymphocyte,typical lymphocyte,UGU,036.TIF
884,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,041.TIF
885,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,279.TIF
886,typical lymphocyte,typical lymphocyte,UGU,162.TIF
887,myeloblast,myeloblast,UVT,447.TIF
888,myeloblast,typical lymphocyte,PKC,294.TIF
889,myeloblast,myeloblast,UGU,129.TIF
890,normo,normo,PKC,496.TIF
891,myeloblast,mononucleosis,UVT,235.TIF
892,other,mononucleosis,UVT,416.TIF
893,atypical promyelocyte,atypical promyelocyte,BHS,209.TIF
894,myeloblast,atypical promyelocyte,BHS,007.TIF
895,other,metamyelocyte,BHS,056.TIF
896,myeloblast,myeloblast,UVT,381.TIF
897,other,other,BHS,404.TIF
898,other,smudge cell,UVT,324.TIF
899,monocyte,plasma cell,BHS,046.TIF
900,atypical promyelocyte,myeloblast,SBY,456.TIF
901,myeloblast,typical lymphocyte,SBY,360.TIF
902,other,other,PKC,051.TIF
903,typical lymphocyte,typical lymphocyte,UGU,132.TIF
904,atypical promyelocyte,myelocyte,PKC,119.TIF
905,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,383.TIF
906,typical lymphocyte,typical lymphocyte,SBY,043.TIF
907,myeloblast,myeloblast,SBY,297.TIF
908,ambiguous,myeloblast,SBY,100.TIF
909,other,normo,SBY,177.TIF
910,myeloblast with auer rod,atypical promyelocyte,BHS,353.TIF
911,other,typical lymphocyte,BHS,116.TIF
912,other,other,UVT,290.TIF
913,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,285.TIF
914,monocyte,large granulated lymphocyte,UVT,130.TIF
915,myeloblast,myeloblast,UGU,345.TIF
916,typical lymphocyte,typical lymphocyte,UGU,128.TIF
917,typical lymphocyte,typical lymphocyte,BHS,452.TIF
918,normo,normo,PKC,133.TIF
919,myeloblast,myeloblast,UVT,262.TIF
920,large granulated lymphocyte,large granulated lymphocyte,UGU,136.TIF
921,normo,normo,UVT,252.TIF
922,typical lymphocyte,typical lymphocyte,UGU,094.TIF
923,myeloblast,myeloblast,SBY,218.TIF
924,other,atypical promyelocyte,BHS,083.TIF
925,monocyte,metamyelocyte,PKC,202.TIF
926,myeloblast,myeloblast,SBY,016.TIF
927,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,229.TIF
928,myeloblast,myeloblast,UGU,356.TIF
929,large granulated lymphocyte,large granulated lymphocyte,UGU,272.TIF
930,myeloblast with auer rod,myeloblast,BHS,159.TIF
931,monocyte,atypical promyelocyte,BHS,053.TIF
932,cup-like blast,myeloblast,UVT,201.TIF
933,myeloblast,myeloblast,SBY,308.TIF
934,myeloblast,atypical promyelocyte,SBY,149.TIF
935,other,neoplastic lymphocyte,SBY,033.TIF
936,other,myeloblast,UGU,165.TIF
937,atypical promyelocyte,atypical promyelocyte,BHS,332.TIF
938,monocyte,myeloblast,UGU,394.TIF
939,metamyelocyte,typical lymphocyte,UGU,024.TIF
940,myeloblast,myeloblast,SBY,163.TIF
941,reactive lymphocyte,reactive lymphocyte,UGU,282.TIF
942,other,neutrophil granulocyte (segmented),BHS,349.TIF
943,other,plasma cell,BHS,464.TIF
944,other,other,BHS,429.TIF
945,atypical promyelocyte,atypical promyelocyte,BHS,385.TIF
946,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,220.TIF
947,monocyte,monocyte,SBY,282.TIF
948,atypical promyelocyte,atypical promyelocyte,PKC,276.TIF
949,typical lymphocyte,typical lymphocyte,UVT,105.TIF
950,monocyte,myeloblast,UGU,330.TIF
951,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,232.TIF
952,myeloblast,myeloblast,SBY,307.TIF
953,myeloblast,myeloblast,UVT,022.TIF
954,other,other,BHS,071.TIF
955,other,monocyte,BHS,410.TIF
956,monocyte,monocyte,SBY,295.TIF
957,myeloblast,mononucleosis,UVT,016.TIF
958,other,smudge cell,UVT,006.TIF
959,monocyte,metamyelocyte,PKC,402.TIF
960,typical lymphocyte,myeloblast,SBY,365.TIF
961,myeloblast,myeloblast,SBY,083.TIF
962,large granulated lymphocyte,large granulated lymphocyte,UGU,219.TIF
963,myeloblast,mononucleosis,SBY,036.TIF
964,normo,normo,PKC,455.TIF
965,myeloblast with auer rod,myeloblast,UGU,160.TIF
966,other,smudge cell,UGU,411.TIF
967,ambiguous,atypical promyelocyte,PKC,231.TIF
968,typical lymphocyte,typical lymphocyte,UGU,377.TIF
969,typical lymphocyte,typical lymphocyte,UGU,198.TIF
970,myeloblast,typical lymphocyte,SBY,304.TIF
971,typical lymphocyte,typical lymphocyte,SBY,347.TIF
972,normo,normo,PKC,222.TIF
973,other,other,UVT,463.TIF
974,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,185.TIF
975,cup-like blast,myeloblast,UVT,203.TIF
976,typical lymphocyte,typical lymphocyte,UGU,172.TIF
977,ambiguous,typical lymphocyte,SBY,463.TIF
978,other,neutrophil granulocyte (segmented),PKC,082.TIF
979,atypical promyelocyte,atypical promyelocyte,PKC,170.TIF
980,monocyte,mononucleosis,SBY,293.TIF
981,other,neutrophil granulocyte (segmented),PKC,140.TIF
982,myeloblast,myeloblast,SBY,273.TIF
983,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,350.TIF
984,myeloblast,myeloblast,SBY,158.TIF
985,typical lymphocyte,typical lymphocyte,SBY,266.TIF
986,metamyelocyte,neutrophil granulocyte (segmented),UGU,011.TIF
987,atypical promyelocyte,atypical promyelocyte,BHS,439.TIF
988,typical lymphocyte,typical lymphocyte,PKC,338.TIF
989,other,typical lymphocyte,BHS,231.TIF
990,other,smudge cell,SBY,056.TIF
991,other,other,BHS,285.TIF
992,ambiguous,myeloblast,UVT,181.TIF
993,other,atypical promyelocyte,BHS,117.TIF
994,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,376.TIF
995,other,other,UVT,229.TIF
996,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,377.TIF
997,other,smudge cell,SBY,029.TIF
998,monocyte,basophil granulocyte,BHS,110.TIF
999,typical lymphocyte,typical lymphocyte,SBY,322.TIF
1000,myeloblast,myeloblast,SBY,410.TIF
1001,myeloblast,myeloblast,SBY,030.TIF
1002,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,125.TIF
1003,other,other,UVT,427.TIF
1004,other,typical lymphocyte,BHS,217.TIF
1005,other,other,PKC,031.TIF
1006,myeloblast,myeloblast,UVT,000.TIF
1007,other,smudge cell,UVT,315.TIF
1008,reactive lymphocyte,reactive lymphocyte,UVT,226.TIF
1009,other,typical lymphocyte,BHS,319.TIF
1010,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,126.TIF
1011,other,metamyelocyte,BHS,294.TIF
1012,monocyte,mononucleosis,SBY,092.TIF
1013,other,hair cell,UGU,116.TIF
1014,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,250.TIF
1015,myeloblast,myeloblast,SBY,301.TIF
1016,promonocyte,monocyte,UVT,078.TIF
1017,neutrophil granulocyte (band),basophil granulocyte,UVT,333.TIF
1018,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,271.TIF
1019,monocyte,myeloblast,UGU,467.TIF
1020,myeloblast,myeloblast,SBY,252.TIF
1021,monocyte,neutrophil granulocyte (band),PKC,406.TIF
1022,monocyte,typical lymphocyte,BHS,362.TIF
1023,monocyte,large granulated lymphocyte,UGU,348.TIF
1024,typical lymphocyte,typical lymphocyte,UGU,415.TIF
1025,monocyte,typical lymphocyte,UGU,493.TIF
1026,other,smudge cell,UVT,005.TIF
1027,myeloblast,myeloblast,UVT,177.TIF
1028,other,other,PKC,275.TIF
1029,faggot cell,atypical promyelocyte,BHS,197.TIF
1030,monocyte,monocyte,UGU,483.TIF
